word,frequency,relative_frequency,sts_category
provides,152,0.0003905005600600138,—
voting,152,0.0003905005600600138,gouvernance
global,152,0.0003905005600600138,discours_vision
languages,151,0.00038793147742803997,—
designed,151,0.00038793147742803997,—
contet,151,0.00038793147742803997,—
types,151,0.00038793147742803997,—
scalability,151,0.00038793147742803997,—
ecurity,151,0.00038793147742803997,—
ist,151,0.00038793147742803997,—
due,150,0.0003853623947960662,—
cryptographic,149,0.00038279331216409246,recherche
require,149,0.00038279331216409246,—
individual,149,0.00038279331216409246,—
tool,149,0.00038279331216409246,—
asper,149,0.00038279331216409246,—
follows,148,0.00038022422953211865,—
pay,148,0.00038022422953211865,—
directly,148,0.00038022422953211865,—
formal,148,0.00038022422953211865,recherche
networks,147,0.0003776551469001449,—
individuals,147,0.0003776551469001449,—
hope,147,0.0003776551469001449,—
provided,147,0.0003776551469001449,—
inside,147,0.0003776551469001449,—
towards,147,0.0003776551469001449,—
ecution,147,0.0003776551469001449,—
fast,146,0.00037508606426817114,—
token,146,0.00037508606426817114,defi_finance
specification,146,0.00037508606426817114,recherche
gets,145,0.00037251698163619733,—
versions,145,0.00037251698163619733,—
recently,145,0.00037251698163619733,—
risks,145,0.00037251698163619733,—
signature,144,0.0003699478990042236,sécurité
easily,143,0.0003673788163722498,—
conference,143,0.0003673788163722498,—
pool,143,0.0003673788163722498,—
question,142,0.000364809733740276,—
takes,142,0.000364809733740276,—
input,142,0.000364809733740276,—
larger,142,0.000364809733740276,—
ready,142,0.000364809733740276,—
return,142,0.000364809733740276,—
challenges,141,0.00036224065110830226,—
bring,141,0.00036224065110830226,—
cryptography,141,0.00036224065110830226,sécurité
whole,141,0.00036224065110830226,—
critical,141,0.00036224065110830226,—
join,141,0.00036224065110830226,—
initial,141,0.00036224065110830226,—
ovember,141,0.00036224065110830226,—
line,141,0.00036224065110830226,—
spec,141,0.00036224065110830226,—
effect,141,0.00036224065110830226,—
builders,141,0.00036224065110830226,—
essentially,140,0.00035967156847632845,—
ever,140,0.00035967156847632845,—
efficiency,140,0.00035967156847632845,—
name,139,0.0003571024858443547,—
mechanisms,139,0.0003571024858443547,—
deposits,139,0.0003571024858443547,—
comple,139,0.0003571024858443547,—
random,139,0.0003571024858443547,—
correct,139,0.0003571024858443547,—
chance,139,0.0003571024858443547,—
opportunity,139,0.0003571024858443547,—
grant,139,0.0003571024858443547,—
hain,139,0.0003571024858443547,—
devcon,139,0.0003571024858443547,—
limited,138,0.00035453340321238094,—
cha,138,0.00035453340321238094,—
ince,138,0.00035453340321238094,—
requires,138,0.00035453340321238094,—
browser,138,0.00035453340321238094,usages
toward,138,0.00035453340321238094,—
party,138,0.00035453340321238094,—
contributors,138,0.00035453340321238094,—
zk,138,0.00035453340321238094,sécurité
cryptocurrency,137,0.00035196432058040713,—
self,137,0.00035196432058040713,—
steps,137,0.00035196432058040713,—
questions,137,0.00035196432058040713,—
compiler,137,0.00035196432058040713,développement
ay,137,0.00035196432058040713,—
person,136,0.0003493952379484334,—
server,136,0.0003493952379484334,—
million,135,0.0003468261553164596,—
little,135,0.0003468261553164596,—
hardware,135,0.0003468261553164596,—
bytes,135,0.0003468261553164596,—
functions,135,0.0003468261553164596,—
ability,134,0.0003442570726844858,—
eactly,134,0.0003442570726844858,—
signatures,134,0.0003442570726844858,—
secret,134,0.0003442570726844858,—
bugs,134,0.0003442570726844858,—
human,133,0.00034168799005251206,—
messages,132,0.00033911890742053825,—
learning,132,0.00033911890742053825,—
quickly,132,0.00033911890742053825,—
lockchain,132,0.00033911890742053825,—
etwork,132,0.00033911890742053825,—
italik,131,0.0003365498247885645,—
comes,131,0.0003365498247885645,—
includes,131,0.0003365498247885645,—
history,131,0.0003365498247885645,—
disk,131,0.0003365498247885645,—
enable,131,0.0003365498247885645,—
fied,130,0.00033398074215659074,—
ome,130,0.00033398074215659074,—
significant,130,0.00033398074215659074,—
ounce,130,0.00033398074215659074,—
production,130,0.00033398074215659074,—
contribute,130,0.00033398074215659074,—
epolia,130,0.00033398074215659074,—
identity,129,0.00033141165952461693,—
sharing,129,0.00033141165952461693,—
centralized,129,0.00033141165952461693,discours_vision
profit,129,0.00033141165952461693,—
uses,129,0.00033141165952461693,—
goes,129,0.00033141165952461693,—
addresses,129,0.00033141165952461693,—
worth,129,0.00033141165952461693,—
areas,129,0.00033141165952461693,—
internal,129,0.00033141165952461693,—
results,129,0.00033141165952461693,—
app,129,0.00033141165952461693,—
ence,129,0.00033141165952461693,—
feedback,129,0.00033141165952461693,—
range,128,0.0003288425768926432,—
developing,128,0.0003288425768926432,—
easier,128,0.0003288425768926432,—
answer,127,0.0003262734942606694,—
risk,127,0.0003262734942606694,sécurité
aims,127,0.0003262734942606694,—
documentation,127,0.0003262734942606694,recherche
tateless,127,0.0003262734942606694,—
er,126,0.0003237044116286956,—
interest,126,0.0003237044116286956,—
clear,126,0.0003237044116286956,—
proposal,126,0.0003237044116286956,gouvernance
ode,126,0.0003237044116286956,—
big,126,0.0003237044116286956,—
ew,126,0.0003237044116286956,—
foundation,126,0.0003237044116286956,gouvernance
hus,125,0.00032113532899672185,—
algorithms,125,0.00032113532899672185,—
efficient,125,0.00032113532899672185,—
dditionally,125,0.00032113532899672185,—
hey,125,0.00032113532899672185,—
eam,125,0.00032113532899672185,—
computer,124,0.0003185662463647481,—
rewards,124,0.0003185662463647481,—
rom,123,0.0003159971637327743,—
target,123,0.0003159971637327743,—
happen,123,0.0003159971637327743,—
curve,123,0.0003159971637327743,—
reach,123,0.0003159971637327743,—
written,122,0.00031342808110080054,—
control,122,0.00031342808110080054,—
outside,122,0.00031342808110080054,—
happens,122,0.00031342808110080054,—
ouncement,122,0.00031342808110080054,—
launched,122,0.00031342808110080054,—
contributions,122,0.00031342808110080054,—
necessary,121,0.0003108589984688267,—
pla,121,0.0003108589984688267,—
potentially,120,0.00030828991583685297,—
purpose,120,0.00030828991583685297,—
hand,120,0.00030828991583685297,—
serve,120,0.00030828991583685297,—
chains,120,0.00030828991583685297,—
starting,120,0.00030828991583685297,—
write,119,0.0003057208332048792,—
interesting,119,0.0003057208332048792,—
supporting,119,0.0003057208332048792,—
type,119,0.0003057208332048792,—
lease,119,0.0003057208332048792,—
binary,119,0.0003057208332048792,—
stateless,119,0.0003057208332048792,—
challenge,118,0.0003031517505729054,—
organization,118,0.0003031517505729054,—
scale,118,0.0003031517505729054,—
property,118,0.0003031517505729054,—
coin,118,0.0003031517505729054,—
almost,118,0.0003031517505729054,—
difficulty,118,0.0003031517505729054,—
hashes,118,0.0003031517505729054,—
eternal,118,0.0003031517505729054,—
rants,118,0.0003031517505729054,—
base,117,0.00030058266794093165,—
ask,117,0.00030058266794093165,—
fund,117,0.00030058266794093165,—
rof,117,0.00030058266794093165,—
internet,116,0.0002980135853089579,—
organizations,116,0.0002980135853089579,—
programming,116,0.0002980135853089579,développement
output,116,0.0002980135853089579,—
repository,116,0.0002980135853089579,développement
legal,115,0.0002954445026769841,—
received,115,0.0002954445026769841,—
view,115,0.0002954445026769841,—
ver,115,0.0002954445026769841,—
improving,115,0.0002954445026769841,—
benefits,115,0.0002954445026769841,—
consider,115,0.0002954445026769841,—
download,115,0.0002954445026769841,—
month,114,0.00029287542004501033,—
default,114,0.00029287542004501033,—
solve,114,0.00029287542004501033,—
friendly,114,0.00029287542004501033,—
talks,114,0.00029287542004501033,—
processing,114,0.00029287542004501033,—
ed,114,0.00029287542004501033,—
educational,114,0.00029287542004501033,—
roadmap,114,0.00029287542004501033,—
ectra,114,0.00029287542004501033,—
someone,113,0.0002903063374130366,—
cross,113,0.0002903063374130366,—
nothing,113,0.0002903063374130366,—
unique,113,0.0002903063374130366,—
sale,113,0.0002903063374130366,—
ones,113,0.0002903063374130366,—
points,113,0.0002903063374130366,—
cohort,113,0.0002903063374130366,—
ticket,113,0.0002903063374130366,—
parts,112,0.00028773725478106277,—
reputation,112,0.00028773725478106277,—
reduce,112,0.00028773725478106277,—
interact,112,0.00028773725478106277,—
gain,112,0.00028773725478106277,—
lead,112,0.00028773725478106277,—
forks,112,0.00028773725478106277,—
adding,112,0.00028773725478106277,—
period,112,0.00028773725478106277,—
supported,112,0.00028773725478106277,—
rontier,112,0.00028773725478106277,—
oerli,112,0.00028773725478106277,—
management,111,0.000285168172149089,—
perform,111,0.000285168172149089,—
majority,111,0.000285168172149089,—
develop,111,0.000285168172149089,—
ython,111,0.000285168172149089,—
lthough,111,0.000285168172149089,—
organized,111,0.000285168172149089,—
workshops,111,0.000285168172149089,—
close,110,0.0002825990895171152,—
sign,110,0.0002825990895171152,—
completely,110,0.0002825990895171152,—
uring,110,0.0002825990895171152,—
bounty,110,0.0002825990895171152,—
shard,110,0.0002825990895171152,infrastructurel
ellowship,110,0.0002825990895171152,—
basic,109,0.00028003000688514145,—
common,109,0.00028003000688514145,—
prove,109,0.00028003000688514145,—
environment,109,0.00028003000688514145,développement
trying,109,0.00028003000688514145,—
log,109,0.00028003000688514145,—
proposed,109,0.00028003000688514145,—
scaling,109,0.00028003000688514145,infrastructurel
special,108,0.0002774609242531677,—
difficult,108,0.0002774609242531677,—
opportunities,108,0.0002774609242531677,—
vision,108,0.0002774609242531677,discours_vision
integration,108,0.0002774609242531677,—
sense,107,0.0002748918416211939,—
smaller,107,0.0002748918416211939,—
described,107,0.0002748918416211939,—
stay,107,0.0002748918416211939,—
heck,107,0.0002748918416211939,—
education,107,0.0002748918416211939,—
ethermind,107,0.0002748918416211939,—
format,106,0.00027232275898922013,—
